97 293 3	293	0	1 
121 293 25 1533 569 3	293	0	1 
121 293 25 1533 569 3	569	0	4 
139 103 10 2 1762 36	1762	0	4 
2 1625 30 145 97 3	1625	0	1 
2 2615 9 78 121 36	2615	0	1 
2 598 490 3217 181 3	598	0	1 
2 598 490 3217 181 3	181	0	4 
453 1 3068 718 598 3	718 598	0	3 4 
181 9 646 4 1063 3	181	0	0 
28 41 558 1288 598 3	598	1	4 
2 2367 2369 4 2228 3	2367	0	1 
2 1619 181 9 368 3	1619 181	2	1 2 
293 4 181 30 1316 3	293	1	0 
293 4 181 30 1316 3	181	1	2 
121 1625 4 1170 181 3	1625	0	1 
121 1625 4 1170 181 3	181	0	4 
2 293 30 336 3977 3	293	2	1 
4 2 293 30 1170 3	293	0	2 
35 286 113 50 1179 3	1179	1	4 
77 2 2693 6 4061 3	2693	0	2 
181 19 1063 4 3068 3	181	0	0 
181 30 78 107 97 3	181	0	0 
789 2457 4468 26 114 36	2457 4468	0	1 2 
121 913 1 121 293 3	913	0	1 
121 913 1 121 293 3	293	0	4 
76 523 3268 77 61 717 3	523 3268	1	1 2 
12 176 705 5 1155 103 240	1155	0	4 
12 82 2 129 3598 294 3	3598	0	4 
121 3439 153 2 2967 125 3	3439	0	1 
2 1004 9 1796 4 1735 3	1004	0	1 
39 2 293 30 381 2258 3	293	0	2 
37 2 2249 1443 30 97 3	2249 1443	0	2 3 
307 59 2 1139 124 297 3	1139 124 297	0	3 4 5 
395 57 10 41 338 1268 3	338 1268	1	4 5 
51 2 1813 4 924 948 1494	1813	1	2 
51 2 1813 4 924 948 1494	924	1	4 
4197 4 4086 46 126 385 3	4197	1	0 
4197 4 4086 46 126 385 3	4086	1	2 
73 45 3567 17 10 1055 36	1055	2	5 
42 1021 4 12 535 3695 3	3695	0	5 
46 45 1244 257 18 1970 3	1970	1	5 
16 130 777 18 2 3711 3	3711	2	5 
2 293 2300 24 145 334 3	293 2300	0	1 2 
2 204 30 1422 4 2465 3	204	0	1 
2 1814 9 403 97 166 3	1814	0	1 
16 238 318 2 2398 3161 3	2398 3161	0	4 5 
2902 1625 567 2 4447 2339 3	1625	0	1 
2902 1625 567 2 4447 2339 3	4447	0	4 
108 221 1 4 264 2300 3	221	2	1 
108 221 1 4 264 2300 3	2300	2	5 
2 293 30 2412 4 1555 3	293	0	1 
395 10 7 692 3162 1268 3	1268	1	5 
22 293 9 1195 349 2193 3	293	1	1 
44 929 66 3000 10 1443 3	1443	2	5 
121 4261 4 709 188 398 3	4261	0	1 
121 2680 1 842 6 89 3	2680	0	1 
2 204 30 354 4 1958 3	204	0	1 
2 2348 82 7 354 1014 3	2348	0	1 
2 2348 82 7 354 1014 3	1014	0	5 
35 82 2 109 789 3122 3	3122	0	5 
2 598 9 3136 4 1063 3	598	0	1 
181 30 107 97 4 1126 3	181	0	0 
109 2091 1 293 9 715 3	293	0	3 
2 1625 9 3243 4 3526 3	1625	2	1 
2831 1784 9 232 7 97 2191	2831 1784	0	0 1 
240 1 2 3122 30 798 3	3122	0	3 
12 952 2 1991 2707 11 13	1991 2707	0	3 4 
3327 34 2 1298 30 926 3	1298	0	3 
97 3439 4 97 1092 1353 3	3439	0	1 
97 3439 4 97 1092 1353 3	1092 1353	0	4 5 
17 9 78 1093 114 1993 3	1993	0	5 
247 1 2 1004 9 354 3	1004	0	3 
2 1440 1932 87 93 3673 3	1440 1932	1	1 2 
121 447 10 2 312 1499 3	1499	0	5 
2 3875 9 232 880 166 3	3875	0	1 
2 293 30 1910 4 1242 3	293	2	1 
3964 9 121 1 107 3068 3	3964	0	0 
1970 1253 216 5 27 1773 3	1970	2	0 
61 946 9 511 97 166 36	946	0	1 
597 44 153 7 498 3079 3	3079	0	5 
881 1 33 709 2 257 3	257	2	5 
1820 30 107 2529 4 1031 3	1820	0	0 
67 1302 20 2 264 1932 36	1932	2	5 
2 181 30 121 26 114 3	181	0	1 
2 293 30 107 114 1310 3	293	0	1 
2 2388 30 121 1 78 3	2388	0	1 
12 1671 58 18 100 3439 3	3439	0	5 
12 128 2140 5 2 3753 3	3753	0	5 
2053 2 293 809 9 403 97 3	293	0	2 
2 1625 30 403 97 4 725 3	1625	0	1 
39 2489 1511 150 5 2 707 3	1511	0	2 
2005 6 913 24 645 4 97 3	2005 6 913	0	0 1 2 
107 97 181 4 107 97 569 3	181	0	2 
107 97 181 4 107 97 569 3	569	0	6 
2 2729 1956 287 30 107 97 3	2729 1956	0	1 2 
181 51 232 84 1063 4 1491 3	181	0	0 
233 271 2908 407 59 97 78 3	233 271 2908	0	0 1 2 
145 298 1 137 21 2 3072 38	3072	2	6 
62 744 30 107 1052 4 1063 3	744	0	1 
2 293 9 121 4 2315 1993 3	293	0	1 
2 293 9 121 4 2315 1993 3	1993	0	6 
2 293 9 1310 828 4 2368 3	293	0	1 
12 82 3530 3715 20 1955 2978 3	3530 3715 20 1955 2978	1	2 3 4 5 6 
181 30 2317 1 1063 4 121 3	181	0	0 
27 1739 157 16 862 781 2257 3	2257	1	6 
4 2 1080 3981 1814 30 2632 3	1080 3981 1814	2	2 3 4 
984 108 358 2610 5 647 28 3	2610	0	3 
2 3120 4 4099 1932 1201 121 3	3120 4 4099 1932	0	1 2 3 4 
2 293 21 26 97 26 294 3	293	0	1 
1811 3120 1814 9 97 26 114 3	1811 3120 1814	0	0 1 2 
12 3236 2317 181 20 7 1446 3	181	0	3 
2 2232 1443 9 145 97 166 3	2232 1443	0	1 2 
7 238 10 39 2 3891 1963 3	3891	0	5 
12 73 952 2002 18 2309 298 3	2002	1	3 
2 598 9 78 3068 4 1063 3	598	0	1 
2 1268 342 9 41 4406 2069 3	1268 342	0	1 2 
313 10 1055 4 313 10 2832 3	1055	1	2 
313 10 1055 4 313 10 2832 3	2832	1	6 
181 30 97 4 293 9 789 3	181	0	0 
181 30 97 4 293 9 789 3	293	0	4 
2 598 9 1840 1052 4 3068 3	598	0	1 
1379 1 2 97 1336 497 110 3	1336	0	4 
2 3942 30 1079 97 26 114 3	3942	0	1 
12 29 208 82 4205 64 22 3	4205	0	4 
183 46 89 2898 53 2 3124 3	3124	2	6 
33 339 2135 23 2 802 467 3	2135 23 2 802	2	2 3 4 5 
2 913 267 9 1558 4 1660 3	913 267	0	1 2 
2 2292 24 611 511 97 166 3	2292	0	1 
121 1014 6 913 1 4 2366 3	1014 6 913	0	1 2 3 
121 1014 6 913 1 4 2366 3	2366	0	6 
4 16 222 45 1026 2 569 3	569	0	6 
2 3124 9 107 1958 4 1422 3	3124	0	1 
2 913 267 9 78 145 354 3	913 267	0	1 2 
2 181 30 3068 1 326 3004 3	181	0	1 
3143 9 1901 1735 37 355 1926 3	3143	2	0 
3143 9 1901 1735 37 355 1926 3	355	0	5 
1000 2 694 6 41 3068 3131 3	3131	0	6 
1555 540 293 8 354 1143 1653 3	293	0	2 
1555 540 293 8 354 1143 1653 3	1653	0	6 
2 2729 1956 103 9 93 3673 3	2729 1956	1	1 2 
67 981 58 645 1 97 293 3	293	0	6 
37 2 181 30 7 398 1176 3	181	2	2 
2509 465 907 789 1 121 3966 3	907	0	2 
2 211 1608 11 72 3712 202 3	3712	2	5 
35 87 2663 4 2262 23 3964 3	3964	2	6 
3427 4411 19 206 96 3457 21 36	3427 4411	0	0 1 
37 2 598 30 52 1941 5 101 3	598	2	2 
2 269 4 1653 9 67 26 97 3	269	0	1 
2 269 4 1653 9 67 26 97 3	1653	0	3 
95 395 103 5 535 61 817 2141 3	817 2141	0	6 7 
61 2693 3627 3241 9 5 1050 10 3	2693 3627 3241	0	1 2 3 
273 2 4185 2084 1 17 21 1170 3	4185 2084	0	2 3 
2 293 232 2303 880 4 1099 2592 3	293	0	1 
2 293 232 2303 880 4 1099 2592 3	1099	0	6 
3143 4 214 2539 1 70 12 535 3	3143	0	0 
3143 4 214 2539 1 70 12 535 3	214	0	2 
131 2 913 23 2 802 30 97 3	913 23 2 802	0	2 3 4 5 
2 293 30 67 2106 1 3550 336 3	293	2	1 
37 1 440 1523 59 53 2 1331 3	1331	1	7 
880 1499 4 410 9 153 5 273 3	1499	0	1 
2 1521 382 30 3360 1 1466 1554 3	1521 382	2	1 2 
121 1006 293 4 2 181 9 1519 3	1006 293	0	1 2 
121 1006 293 4 2 181 9 1519 3	181	0	5 
2 293 9 121 1 181 9 796 3	293	0	1 
2 293 9 121 1 181 9 796 3	181	1	5 
1599 4 540 17 21 368 1991 293 3	1991 293	2	6 7 
17 21 572 2 129 1546 8 1807 3	1546	0	5 
78 97 10 1005 1268 1543 1 2810 3	1268 1543	1	4 5 
1073 1 97 621 10 692 3085 2587 3	621	0	3 
1073 1 97 621 10 692 3085 2587 3	2587	0	7 
47 490 3818 181 4 51 72 1722 3	181	2	3 
2869 293 25 2926 569 9 7 3371 34	293	2	1 
2869 293 25 2926 569 9 7 3371 34	569	2	4 
12 133 2 621 30 206 96 1472 3	621	0	3 
97 10 1796 1055 20 1890 4 2799 3	1796 1055	0	2 3 
2 924 1000 3262 5 39 32 386 3	924	0	1 
1625 9 2323 1 26 9 2054 2198 3	1625	0	0 
1625 9 2323 1 26 9 2054 2198 3	2054 2198	0	6 7 
2 129 266 12 2763 87 2 4296 3	4296	0	7 
27 1739 6 2300 19 44 165 725 3	2300	0	3 
3200 3325 4221 4060 447 4 121 293 3	447	0	4 
3200 3325 4221 4060 447 4 121 293 3	293	0	7 
641 25 2 241 6 7 2219 997 3	641	0	0 
2 3113 161 24 78 33 14 1355 3	3113	2	1 
61 3172 9 52 2383 1 858 2122 36	3172	0	1 
121 913 267 1 2315 1993 3 159 2314	913 267	0	1 2 
121 913 267 1 2315 1993 3 159 2314	1993	0	5 
232 7 354 1542 1 37 208 1812 3	1542	0	3 
121 293 1 121 569 1 121 181 3	293	0	1 
121 293 1 121 569 1 121 181 3	569	0	4 
121 293 1 121 569 1 121 181 3	181	0	7 
22 9 45 32 1180 1018 293 3648 3	1018 293	1	5 6 
7 107 2564 892 1 20 1063 181 3	181	0	7 
2615 30 45 396 1981 10 2 221 3	2615	1	0 
2615 30 45 396 1981 10 2 221 3	221	2	7 
4414 78 490 2601 3843 1268 4 2348 3	2601 3843 1268	0	3 4 5 
4414 78 490 2601 3843 1268 4 2348 3	2348	0	7 
2 598 30 2519 4 215 6 1722 3	598	0	1 
121 293 4 2 569 24 107 1533 3	293	0	1 
121 293 4 2 569 24 107 1533 3	569	0	4 
92 49 44 119 93 77 7 3147 3	3147	2	7 
1970 9 354 298 181 43 27 3605 3	1970	0	0 
1970 9 354 298 181 43 27 3605 3	181	2	4 
715 3459 1099 2561 754 1 2363 1970 3	3459	0	1 
715 3459 1099 2561 754 1 2363 1970 3	1970	0	7 
2 849 287 1 9 504 232 1176 3	849	2	1 
181 9 121 1 3648 9 97 166 3	181	0	0 
181 9 121 1 3648 9 97 166 3	3648	0	4 
103 21 5 2 1694 907 2241 166 34	907 2241	2	5 6 
499 4489 1730 8 41 1073 858 1070 3	1070	0	7 
119 27 2998 229 7 2601 3843 1546 3	2601 3843 1546	2	5 6 7 
12 395 5 3281 10 2812 120 1055 3	2812 120 1055	1	5 6 7 
110 1 77 2552 18 122 520 913 3	520 913	0	6 7 
2 3844 4 3555 21 24 52 2416 36	3844	0	1 
2 3844 4 3555 21 24 52 2416 36	3555	0	3 
12 168 2289 108 50 787 10 293 3	293	1	7 
4360 21 9 2102 1555 1872 1346 293 3	1346 293	0	6 7 
16 29 5 742 2 181 7 244 3	181	2	5 
881 7 2584 304 10 14 221 695 3	221	2	6 
7 1991 892 59 6 1443 239 1055 38	1443	1	5 
7 1991 892 59 6 1443 239 1055 38	1055	1	7 
12 1183 2 293 25 22 4427 892 3	293	0	3 
12 1183 2 293 25 22 4427 892 3	4427	0	6 
2 913 2 181 30 107 97 166 3	913	0	1 
2 913 2 181 30 107 97 166 3	181	0	3 
293 30 796 19 907 30 2080 114 3	293	1	0 
293 30 796 19 907 30 2080 114 3	907	0	4 
1302 5 4161 1 33 729 3243 2781 3	2781	1	7 
1302 5 4161 1 33 729 3243 2781 3	4161	0	2 
2 181 9 796 37 119 27 206 3	181	2	1 
2 181 30 715 19 1063 4 3068 3	181	0	1 
17 9 55 752 2181 9 39 53 3	2181	0	4 
181 103 30 121 1 293 30 1170 3	181	0	0 
181 103 30 121 1 293 30 1170 3	293	0	5 
44 29 76 121 3456 103 26 114 3	3456	0	4 
12 279 48 53 2 293 4 3124 3	293	1	5 
12 279 48 53 2 293 4 3124 3	3124	1	7 
2 129 1848 1991 12 168 294 82 3	1848 1991	0	2 3 
1133 1006 2181 9 167 57 1 166 3	1133 1006 2181	1	0 1 2 
2 2303 344 32 1236 258 10 48 3	2303	0	1 
121 293 1 121 1970 1 121 181 3	293	0	1 
121 293 1 121 1970 1 121 181 3	1970	0	4 
121 293 1 121 1970 1 121 181 3	181	0	7 
891 1 672 2 181 43 27 1176 3	181	2	4 
2258 2345 1 2107 3546 1 2 497 3	2345	0	1 
2258 2345 1 2107 3546 1 2 497 3	2107 3546	0	3 4 
22 204 9 232 107 2560 4 640 3	204	0	1 
2 181 30 1478 4225 1 1055 359 3	181	1	1 
2 221 9 1533 566 2 181 9 941 3	221	0	1 
2 221 9 1533 566 2 181 9 941 3	181	2	6 
35 82 2 2753 2207 4 17 30 1170 3	2753 2207	0	3 4 
354 892 881 1 20 845 2924 1346 1970 3	1346 1970	0	7 8 
37 71 277 2086 21 9 396 53 181 3	181	1	8 
318 61 1599 1625 20 880 1955 31 3172 3	1599 1625	0	2 3 
318 61 1599 1625 20 880 1955 31 3172 3	1955	0	6 
318 61 1599 1625 20 880 1955 31 3172 3	3172	0	8 
2 1762 24 656 4 570 160 1493 2903 3	1762	0	1 
2 2074 1760 211 420 8 1367 4 506 3	2074	0	1 
2 2729 1956 30 3673 1 37 33 1981 3	2729 1956	1	1 2 
1749 1 1749 355 19 2217 5 27 3980 3	355	2	3 
12 140 4 12 111 2321 293 23 1975 36	2321 293	0	5 6 
17 450 88 370 446 5 601 62 3241 3	3241	1	8 
4416 51 7 448 1070 2576 2 486 1851 3	1070	0	4 
37 1 44 87 166 211 10 2 3015 3	3015	1	8 
49 22 1142 1 67 542 10 228 3772 3	3772	1	8 
2 293 9 1556 4 2 221 9 2111 3	293	0	1 
2 293 9 1556 4 2 221 9 2111 3	221	1	6 
3220 2 1729 25 2 698 9 7 1328 3	698	1	5 
630 22 1619 1 116 340 24 3074 8 3	1619	2	2 
62 3122 30 858 4 3809 1 33 3713 3	3122	0	1 
12 30 403 135 215 113 62 3565 3241 3	3565 3241	1	7 8 
49 16 64 2412 293 77 2 1168 4055 3	1168 4055	1	7 8 
49 16 64 2412 293 77 2 1168 4055 3	2412 293	1	3 4 
12 311 274 17 41 962 1346 1055 63 3	1055	1	7 
42 546 194 2 2626 1625 70 2763 206 3	2626 1625	0	4 5 
22 204 9 7 121 516 10 121 293 3	293	0	8 
12 119 45 3914 61 3730 1625 91 741 3	3730 1625	0	5 6 
56 1762 24 107 3167 1 1555 4 2703 3	1762	0	1 
2 3030 1168 30 45 10 101 1 298 3	3030 1168	2	1 2 
1055 450 504 138 350 229 91 2863 68 3	1055	2	0 
2 2644 24 1078 1 3552 4 125 3243 3	2644	2	1 
2 1819 2353 375 82 72 2427 1879 2498 3	1819 2353 375	2	1 2 3 
2 1819 2353 375 82 72 2427 1879 2498 3	2427 1879	2	6 7 
72 48 2002 1 1242 760 4 2050 621 3	2002	0	2 
72 48 2002 1 1242 760 4 2050 621 3	760	0	5 
72 48 2002 1 1242 760 4 2050 621 3	621	0	8 
2 293 30 114 1310 4 2 181 4164 3	293	0	1 
2 293 30 114 1310 4 2 181 4164 3	181	0	7 
2973 657 20 1136 293 9 7 1324 266 3	1136 293	1	3 4 
35 87 7 248 6 236 4 114 4304 3	4304	0	8 
12 1522 17 30 2250 160 18 2 662 3	662	1	8 
121 293 1 121 1678 59 4 798 181 3	293	0	1 
121 293 1 121 1678 59 4 798 181 3	1678 59	0	4 5 
121 293 1 121 1678 59 4 798 181 3	181	0	8 
2 2255 1575 9 41 656 2311 26 114 3	2255 1575	0	1 2 
2 2255 1575 9 41 656 2311 26 114 3	2311	0	6 
715 1653 1 1555 1932 97 4 1063 181 3	1653	0	1 
715 1653 1 1555 1932 97 4 1063 181 3	1932	0	4 
715 1653 1 1555 1932 97 4 1063 181 3	181	0	8 
880 1 1872 1 869 2181 8 1952 2300 3	869 2181	0	4 5 
880 1 1872 1 869 2181 8 1952 2300 3	2300	0	8 
1762 194 2597 58 1 90 2524 268 607 3	1762	2	0 
2 2509 1353 25 105 2220 30 206 3 387	2509 1353	0	1 2 
1061 4 3296 1111 6 2615 1 4 1555 36	1111 6 2615	0	3 4 5 
2 129 2388 12 29 82 8 2 1062 3	2388	0	2 
4293 9 7 238 10 430 71 1350 4251 3	4251	0	8 
2 1991 920 1104 30 2654 1430 4 2416 36	1991 920 1104	0	1 2 3 
2870 24 7 1555 125 5 969 2 1546 3	2870	0	0 
2870 24 7 1555 125 5 969 2 1546 3	1546	0	8 
12 923 4239 53 4382 2 580 4 1911 3	580	0	6 
12 923 4239 53 4382 2 580 4 1911 3	1911	0	8 
232 640 1 232 215 1 232 7 718 3	718	2	8 
2 293 287 1 9 55 50 270 959 3	293	1	1 
2 293 9 2258 4 1387 1467 24 1130 3	293	0	1 
2 293 9 2258 4 1387 1467 24 1130 3	1387 1467	0	5 6 
12 82 7 725 3889 2207 18 7 1188 3	3889 2207	0	4 5 
82 7 692 280 1055 18 7 659 280 3	1055	1	4 
35 232 77 7 2500 6 3161 4 412 3	3161	1	6 
211 4 1044 26 114 26 97 1268 293 3	1268 293	0	7 8 
2 4192 30 796 159 2 4044 30 3014 3	4192	1	1 
2 4192 30 796 159 2 4044 30 3014 3	4044	2	6 
2 93 3764 18 22 892 9 2 569 3	569	2	8 
12 168 84 5 2757 1202 10 1055 1375 3	1055	1	7 
35 39 2088 2198 4420 1 70 87 121 3	2198 4420	0	3 4 
2323 1102 215 6 704 2032 4 342 1932 3	1102	0	1 
2323 1102 215 6 704 2032 4 342 1932 3	2032	0	5 
2323 1102 215 6 704 2032 4 342 1932 3	1932	0	8 
35 140 2 293 1 1762 1 4 1653 36	293	0	3 
35 140 2 293 1 1762 1 4 1653 36	1762	0	5 
35 140 2 293 1 1762 1 4 1653 36	1653	0	8 
2 181 30 1063 4 2 1653 30 1796 3	181	0	1 
2 181 30 1063 4 2 1653 30 1796 3	1653	0	6 
2 1055 1102 9 1845 4 3263 26 114 3	1055 1102	0	1 2 
540 1237 293 4 55 381 4 3894 2300 3	1237 293	0	1 2 
540 1237 293 4 55 381 4 3894 2300 3	2300	0	8 
42 907 30 1555 8 41 1519 2427 1597 3	907	0	1 
42 907 30 1555 8 41 1519 2427 1597 3	2427 1597	0	7 8 
743 5 97 1991 293 1 37 1749 928 3	1991 293	0	3 4 
743 5 97 1991 293 1 37 1749 928 3	928	2	8 
2 1597 9 1555 4 2 2704 9 498 3	1597	0	1 
2 1597 9 1555 4 2 2704 9 498 3	2704	0	6 
2 181 9 33 2102 715 159 67 1672 3	181	1	1 
12 73 67 542 10 72 568 190 68 3	568	2	6 
2 181 30 715 4 2 293 30 1555 3	181	0	1 
2 181 30 715 4 2 293 30 1555 3	293	0	6 
39 2 2751 2 248 791 194 2702 414 3	2751	0	2 
103 16 77 2 2624 288 229 909 2653 3	2624 288	0	4 5 
2 2615 1216 403 880 4 30 2846 3723 3	2615	0	1 
2 181 9 97 4 2 3796 9 754 3	181	0	1 
42 1950 2088 2693 4 17 30 2080 1514 36	2693	0	3 
318 2 2753 3653 4 2 1140 342 1188 3	2753 3653	0	2 3 
318 2 2753 3653 4 2 1140 342 1188 3	1140 342 1188	0	6 7 8 
2 293 9 97 1 12 222 45 1657 3	293	0	1 
1840 941 181 41 293 312 25 3630 569 3	181	2	2 
1840 941 181 41 293 312 25 3630 569 3	293 312	2	4 5 
1840 941 181 41 293 312 25 3630 569 3	569	2	8 
44 1304 58 281 446 113 2 2693 2533 3	2693	0	7 
542 10 3931 1 2 3177 3152 8 2024 3	3152	0	6 
2 2971 1344 2311 30 1519 4 12 952 17 3	2971 1344 2311	0	1 2 3 
97 1014 6 2135 2063 28 1421 5 174 241 3	1014 6 2135	0	1 2 3 
12 82 2 1848 1991 4 2 2781 87 2385 3	1848 1991	2	3 4 
12 82 2 1848 1991 4 2 2781 87 2385 3	2781	2	7 
1268 407 20 4277 4 3602 1 72 781 929 3	1268	0	0 
1268 407 20 4277 4 3602 1 72 781 929 3	4277 4 3602	1	3 4 5 
2 1814 10 2 3833 30 2449 1597 4 258 3	1814 10 2 3833	2	1 2 3 4 
2 1814 10 2 3833 30 2449 1597 4 258 3	2449 1597	1	6 7 
2 1814 10 2 3833 30 2449 1597 4 258 3	258	1	9 
166 368 2 293 30 45 6 2 178 1675 3	293	2	3 
22 9 41 656 204 5 318 76 3797 2032 3	3797 2032	0	8 9 
415 2838 24 2 498 348 10 154 2015 1524 3	415 2838	0	0 1 
2257 9 121 1991 293 1 140 2 2328 3161 3	1991 293	0	3 4 
2257 9 121 1991 293 1 140 2 2328 3161 3	3161	0	9 
97 214 1 121 293 1 2808 181 1421 569 3	214	0	1 
97 214 1 121 293 1 2808 181 1421 569 3	293	0	4 
97 214 1 121 293 1 2808 181 1421 569 3	181	0	7 
97 214 1 121 293 1 2808 181 1421 569 3	569	0	9 
2 2595 87 715 1 4 2 2311 30 97 3	2595	0	1 
2 2595 87 715 1 4 2 2311 30 97 3	2311	0	7 
12 238 193 2 225 6 1807 9 52 448 36	225	0	4 
2 293 9 798 19 889 318 2 2740 1390 3	293	0	1 
2 293 9 798 19 889 318 2 2740 1390 3	2740 1390	0	8 9 
2 2751 24 48 2414 110 3541 3243 869 1165 3	2751	0	1 
7 645 873 10 1807 1 37 33 10 3891 3	3891	2	9 
7 645 873 10 1807 1 37 33 10 3891 3	873	0	2 
2 1055 30 796 1 440 12 73 29 240 3	1055	2	1 
1555 3439 1 567 65 150 59 6 2 1792 3	3439	0	1 
8 413 1 116 89 119 145 412 50 1351 3	1351	0	9 
2 293 9 880 1 1555 1 4 2315 1993 3	293	0	1 
2 293 9 880 1 1555 1 4 2315 1993 3	1993	0	9 
7 121 683 25 91 500 4 7 121 586 3	500	0	5 
61 4018 24 3038 1 368 1 4264 1 3443 3	4018	2	1 
97 2761 1 121 2362 2399 4 3439 145 2258 3	2761	0	1 
97 2761 1 121 2362 2399 4 3439 145 2258 3	2362 2399	0	4 5 
97 2761 1 121 2362 2399 4 3439 145 2258 3	3439	0	7 
318 2 3190 2693 1 17 9 5 1050 10 3	3190 2693	0	2 3 
597 1 18 782 1524 2 234 913 9 1862 36	234 913	0	6 7 
2 2398 3933 30 715 4 2 4052 87 3175 3	2398 3933	0	1 2 
2 2398 3933 30 715 4 2 4052 87 3175 3	4052	0	7 
2 293 9 1316 4 2 569 103 24 2929 3	293	1	1 
2 293 9 1316 4 2 569 103 24 2929 3	569	1	6 
2 3680 1811 30 2122 4 2723 8 42 1236 3	3680 1811	0	1 2 
2 129 1168 1848 2934 1 12 168 294 82 3	1168 1848 2934	0	2 3 4 
2 3296 1 129 863 1 4 2 2115 928 3	863	0	4 
