711 337 36	337	0	1 
154 383 4 640 10 2968 3	2968	0	5 
1767 9 1171 4 3436 982 3	1767	2	0 
17 21 92 39 2550 1339 3	2550 1339	1	4 5 
121 1227 14 533 123 121 470 36	470	0	6 
177 5 648 17 5 190 221 3	190	1	5 
44 82 5 1518 2 2697 8 381	2697	2	5 
17 9 357 5 115 4 2119 3	115	0	4 
2 1664 565 30 7 96 737 3	1664 565	0	1 2 
93 96 283 9 2 1434 337 3	1434 337	0	5 6 
80 136 2 266 983 33 126 569	266 983	2	3 4 
2 769 9 3167 8 42 514 3	769	2	1 
37 17 51 7 573 287 2831 3	287	2	5 
2 346 773 24 107 96 346 3	346	1	1 6 
2 346 773 24 107 96 346 3	346	0	1 6 
2 943 160 30 2258 95 1018 3	943 160	2	1 2 
2 93 405 179 9 2 383 74 640 3	383	2	6 
2 93 405 179 9 2 383 74 640 3	640	2	8 
2 1599 1956 24 341 5 1471 3	1599 1956	2	1 2 
12 40 217 139 124 5 473 36	473	2	6 
37 16 252 77 2 303 1326 3	303 1326	0	5 6 
1767 96 2197 4 3429 5 115 3	1767	0	0 
1767 96 2197 4 3429 5 115 3	115	0	6 
1388 112 17 30 59 6 1660 3	1660	1	6 
42 409 30 20 1913 730 190 3	1913 730 190	2	4 5 6 
99 7 96 1227 10 99 487 3	487	0	6 
2 2379 988 236 2261 107 114 3	2261	0	4 
2 609 24 664 26 43 27 3	609	0	1 
2 943 160 9 78 1668 96 3	943 160	0	1 2 
3490 5 115 361 357 5 1485 3	115	0	2 
3490 5 115 361 357 5 1485 3	1485	0	6 
2 93 2983 9 2 1052 358 3	1052 358	2	5 6 
2 1767 51 7 849 841 312 3	1767	0	1 
2 3248 287 9 2975 4 2057 3	3248 287	0	1 2 
1147 1 39 79 470 24 7 75	470	1	4 
44 24 53 2 187 383 1702 3	1702	1	6 
2 1744 18 17 24 2310 172 3	1744	2	1 
12 128 1650 6 2 3115 190 3	190	2	6 
583 5 115 1 4 121 1434 3	1434	0	6 
583 5 115 1 4 121 1434 3	115	0	2 
44 1005 294 311 9 173 175 3	294 311	2	2 3 
2 789 9 1581 19 2410 96 3	789	0	1 
208 121 283 9 2 2189 1434 3	2189 1434	0	5 6 
2 1844 6 207 58 30 2333 3	207 58	0	3 4 
266 983 435 405 113 85 621 164	266 983	2	0 1 
2 1805 266 1138 1287 1763 108 68	1805 266 1138	2	1 2 3 
12 896 47 30 2 1061 368 3	1061 368	1	5 6 
22 9 41 3253 1 3251 1227 3	3251	2	5 
2 946 1937 9 654 2 129 3	946 1937	0	1 2 
78 1837 1900 65 2 886 30 620 3	886	2	5 
16 81 141 5 375 292 7 953 3	953	1	7 
1237 12 140 2 2074 4 1098 907 3	2074 4 1098 907	0	4 5 6 7 
113 14 2 112 17 30 205 1660 3	1660	1	7 
2 1227 30 107 357 5 207 58 3	207 58	0	6 7 
12 1022 10 592 1327 4 330 705 3	592 1327	0	3 4 
12 1022 10 592 1327 4 330 705 3	330	0	6 
22 508 82 931 2 1907 12 680 3	1907	0	5 
17 21 699 4 51 767 943 160 3	943 160	0	6 7 
78 1 2 1451 1660 30 7 409 3	1451 1660	2	3 4 
922 217 871 154 131 113 2639 1294 3	2639	2	6 
2181 82 5 294 1201 275 123 267 3	1201 275	1	4 5 
22 9 7 121 487 10 2 272 3	487	0	4 
2 287 9 859 1 337 9 2630 3	287	0	1 
2 287 9 859 1 337 9 2630 3	337	0	5 
17 51 7 1453 1911 4 48 1864 3	1911	0	4 
17 51 7 1453 1911 4 48 1864 3	1864	0	7 
12 173 29 14 1416 2172 1599 5 36	2172 1599	2	5 6 
73 64 48 2628 1 183 1201 470 3	470	2	7 
57 9 479 5 2299 53 2 198 3	198	0	7 
2 94 1514 1480 154 113 2 3507 3	3507	1	7 
22 198 448 1939 20 473 231 1989 3	473 231 1989	1	5 6 7 
2 943 653 52 418 17 9 2054 3	943	2	1 
334 2 845 299 460 9 7 252 3	845 299 460	0	2 3 4 
17 147 9 542 10 126 4 280 3	280	0	7 
17 147 9 542 10 126 4 280 3	126	0	5 
85 3 2 1134 481 9 498 337 3	1134 481	2	3 4 
44 78 115 116 1136 257 1218 552 3	1218 552	1	6 7 
2 1767 9 64 72 79 1227 1767 3	1767	1	1 7 
2 1767 9 64 72 79 1227 1767 3	1767	1	1 7 
123 6 42 2827 1472 341 1787 2633 3	341 1787	2	5 6 
229 628 2039 839 1 699 1 121 36	839	0	3 
96 10 197 120 1950 4 276 2016 3	276 2016	0	6 7 
96 10 197 120 1950 4 276 2016 3	197 120 1950	0	2 3 4 
585 64 520 7 405 2638 28 2379 3	2638	2	5 
77 22 508 10 2968 4 699 1327 569	2968	0	4 
77 22 508 10 2968 4 699 1327 569	1327	0	7 
1665 5 1613 58 22 769 54 1227 3	1613 58	2	2 3 
22 9 7 307 6 473 1620 198 3	473 1620 198	1	5 6 7 
22 508 12 166 673 388 1854 287 3	287	0	7 
12 2458 2 640 4 383 1 3524 3	640	2	3 
12 2458 2 640 4 383 1 3524 3	383	2	5 
2 1599 9 125 125 125 5 3427 3	1599	2	1 
2 3225 30 357 5 497 4 2455 3	3225	0	1 
17 9 357 5 2455 4 786 739 3	786 739	1	6 7 
17 9 357 5 2455 4 786 739 3	2455	0	4 
2487 11 114 19 2106 2694 11 7 405 3357 36	3357	2	9 
2487 11 114 19 2106 2694 11 7 405 3357 36	2106	0	4 
450 53 22 508 9 357 5 115 3	115	0	7 
20 793 778 44 1750 2 341 562 3	341 562	1	6 7 
1026 85 385 18 349 20 1388 1061 275 3	1388 1061 275	1	6 7 8 
1357 6 2 1516 1 17 172 51 598 3	1516	2	3 
17 2747 64 1103 1679 31 227 64 14 3	2747	1	1 
17 2747 64 1103 1679 31 227 64 14 3	1103 1679	1	3 4 
50 2999 1 12 771 2 1702 87 3082 3	1702	2	6 
147 64 2 2724 1062 70 626 72 3035 3	1062	0	4 
2421 69 25 396 250 385 6 1344 68 3	1344 68	2	7 8 
17 1184 107 1496 172 70 9 7 645 3	1184	0	1 
33 214 2345 2451 33 261 55 1399 53 3	2345 2451	1	2 3 
2 232 4 470 48 95 1068 42 426 3	232	0	1 
2 232 4 470 48 95 1068 42 426 3	470	0	3 
22 9 2 527 1756 5 41 2858 287 3	287	2	8 
1745 2 198 1577 203 2732 58 113 2753 3	198 1577	2	2 3 
17 21 7 121 325 10 7 121 232 36	232	0	8 
612 99 473 1620 1197 5 473 1683 1945 3	473 1620	2	2 3 
612 99 473 1620 1197 5 473 1683 1945 3	473 1683	0	6 7 
94 17 2307 31 2985 2 266 1813 1905 3	266 1813 1905	2	6 7 8 
22 2486 9 41 1616 325 20 121 487 3	487	0	8 
2 907 24 96 372 10 55 12 141 3	907	0	1 
734 1 2 1211 409 51 84 1201 275 3	1201 275	2	7 8 
2 93 409 9 7 1193 6 789 2545 36	789 2545	2	7 8 
168 385 6 943 160 9 147 227 599 34	943 160	0	3 4 
849 2578 298 287 9 93 18 2 724 3	298 287	0	2 3 
2 3157 9 7 779 884 8 2 2946 36	3157	2	1 
155 32 68 4 139 149 2 2270 2918 3	2270	1	7 
44 93 605 1574 7 182 108 41 848 3	1574	2	3 
2 1021 7 1441 352 113 2 94 260 3	1021 7	2	1 2 
2 1298 21 1660 93 1325 1248 74 1032 6 515 3	1660	2	3 
37 2 1424 2865 9 2493 113 50 115 3	1424 2865	2	2 3 
37 1 10 2 544 22 9 7 1396 3	544	0	4 
31 2 2797 73 212 58 76 213 599 3	2797	2	2 
50 2999 12 1478 30 589 337 568 1395 3	589 337 568 1395	2	5 6 7 8 
208 570 12 29 20 17 9 2 943 3	943	2	8 
12 111 55 231 2306 6 943 546 64 3	943	0	6 
2 943 160 9 504 41 848 25 129 3	943 160	2	1 2 
17 30 341 5 1176 4 1823 25 193 3	1176	2	4 
17 30 341 5 1176 4 1823 25 193 3	1823	2	6 
783 699 1911 4 147 388 1434 481 3 3	1911	0	2 
783 699 1911 4 147 388 1434 481 3 3	1434 481	0	6 7 
2 1356 18 2 789 9 548 1456 1228 3	1356 18 2 789	0	1 2 3 4 
2 1865 6 2 2486 9 2033 4 2386 60	1865	2	1 
546 388 1 37 51 7 2909 698 312 3	312	2	8 
546 388 1 37 51 7 2909 698 312 3	546	0	0 
65 12 411 1401 2 730 190 30 121 3	730 190	0	5 6 
22 9 7 121 182 508 10 2 232 3	232	0	8 
22 1227 1799 197 2661 4 473 231 9 121 36	473 231	0	6 7 
2751 42 508 3442 872 4 1184 7 1809 1985 3	1809 1985	1	8 9 
12 83 214 2 1443 1551 19 589 9 96 3	1443 1551	0	4 5 
12 83 214 2 1443 1551 19 589 9 96 3	589	0	7 
17 9 245 1630 1 217 3172 4 2653 114 3	2653	0	8 
12 613 64 2 1767 70 51 3404 394 1702 3	1767	0	4 
12 613 64 2 1767 70 51 3404 394 1702 3	1702	0	9 
2182 10 2 187 26 7 2801 242 2939 383 3	383	0	9 
20 859 1434 4 3058 491 1 17 21 542 36	1434	0	2 
20 859 1434 4 3058 491 1 17 21 542 36	491	0	5 
12 1939 473 231 568 3074 4 17 540 3091 36	473 231	0	2 3 
12 1939 473 231 568 3074 4 17 540 3091 36	3074	0	5 
2 519 9 121 1 4 2 3417 9 3233 3	519	0	1 
2 519 9 121 1 4 2 3417 9 3233 3	3417	0	7 
470 64 2 2071 24 107 3460 4 243 193 3	2071	2	3 
470 64 2 2071 24 107 3460 4 243 193 3	470	2	0 
2508 9 67 52 2833 692 20 22 824 172 3	2508	0	0 
7 121 508 10 361 105 115 4 159 115 3	105 115	0	5 6 
7 121 508 10 361 105 115 4 159 115 3	159 115	0	8 9 
2119 1 191 943 160 1 767 1880 28 922 60	943 160	0	3 4 
17 51 96 770 4 1284 6 341 562 553 3	770	0	3 
17 51 96 770 4 1284 6 341 562 553 3	341 562 553	0	7 8 9 
936 1215 14 17 51 156 121 470 8 17 3	470	0	7 
17 9 33 1243 10 286 127 6 2 2429 3	2429	2	9 
2 1801 789 1441 352 18 1092 113 168 355 3	1801 789	2	1 2 
17 9 357 5 139 28 50 1767 5 208 3	1767	1	7 
20 473 2374 7 1134 1599 9 41 1835 252 3	1134 1599	1	4 5 
2 789 1356 30 931 55 12 30 259 10 3	789 1356	0	1 2 
113 3018 1502 2 789 6 2 1996 2390 165 3	789	2	4 
17 157 2 508 135 1149 5 115 4 2455 3	115	0	7 
17 157 2 508 135 1149 5 115 4 2455 3	2455	0	9 
44 147 46 29 2 2058 107 1421 1032 190 3	1032 190	2	8 9 
910 6 842 553 37 2 1767 9 2855 279 3	553	0	3 
910 6 842 553 37 2 1767 9 2855 279 3	1767	2	6 
521 908 5 2 2212 49 16 150 100 787 3	2212	1	4 
140 2 2047 6 2 1162 351 4 1218 198 3	2047	0	2 
140 2 2047 6 2 1162 351 4 1218 198 3	1162 351	0	5 6 
140 2 2047 6 2 1162 351 4 1218 198 3	1218 198	0	8 9 
121 325 23 845 20 2 54 121 259 287 3	287	0	9 
3469 9 41 767 301 10 2564 4 2378 465 3	3469	0	0 
3469 9 41 767 301 10 2564 4 2378 465 3	301	0	4 
209 110 12 29 82 1504 598 20 1241 1203 3	1203	2	9 
22 9 55 12 294 7 96 113 555 190 3	113 555 190 3	0	7 8 9 10 
8 152 355 2 1390 337 203 1370 4 1370 3	1390 337	2	4 5 
561 2213 1 51 72 2950 1937 18 2 347 3	2950 1937	2	5 6 
2 943 160 9 711 1 2 3425 9 1616 3	943 160	0	1 2 
2 943 160 9 711 1 2 3425 9 1616 3	3425	0	7 
12 2458 2 337 4 2 2136 6 2 1744 3	1744	2	9 
2 789 1434 4 2329 1 4 3071 24 121 3	789 1434	0	1 2 
2 789 1434 4 2329 1 4 3071 24 121 3	2329	0	4 
2 789 1434 4 2329 1 4 3071 24 121 3	3071	0	7 
42 2486 9 52 135 215 259 4 52 1680 36	259	0	6 
1434 24 813 4 1764 1 330 2526 24 2648 3	1434	0	0 
1434 24 813 4 1764 1 330 2526 24 2648 3	330 2526	0	6 7 
789 9 1461 664 4 2 198 9 107 2606 3	789	0	0 
789 9 1461 664 4 2 198 9 107 2606 3	198	0	6 
473 1620 378 22 508 548 3134 10 180 190 3	473 1620	2	0 1 
473 1620 378 22 508 548 3134 10 180 190 3	180 190	2	8 9 
42 94 409 30 20 2 3252 2473 2548 74 491 301 3	3252 2473 2548 74 491 301	2	6 7 8 9 10 11 
12 82 106 355 65 2 2178 433 177 59 3	2178	2	6 
17 9 2578 4 2119 4 1454 894 65 680 3	1454	0	6 
15 2 3106 1776 78 1012 7 2986 1008 13 3	3106 1776	1	2 3 
15 2 3106 1776 78 1012 7 2986 1008 13 3	2986 1008	1	7 8 
121 325 1 107 357 5 115 4 121 1434 3	1434	0	9 
121 325 1 107 357 5 115 4 121 1434 3	115	0	6 
2559 10 156 7 1225 789 4 25 7 1611 232	789	0	5 
2559 10 156 7 1225 789 4 25 7 1611 232	232	0	10 
12 490 2525 134 2490 1624 4 615 6 2374 3	615	1	7 
12 115 7 2044 1937 37 17 136 45 167 3	2044 1937	2	3 4 
22 1227 920 769 54 4 30 2088 107 894 3	2088	0	7 
99 699 1 51 183 1373 337 8 2 662 3	183 1373 337	0	4 5 6 
789 383 9 542 10 1685 115 8 91 868 3	789 383	0	0 1 
13 4 1559 28 511 592 1911 9 41 1444 3	592 1911	2	5 6 
208 773 301 14 9 3053 9 2 2342 188 3	773 301	2	1 2 
2 789 548 920 64 7 2742 65 17 3038 3	789	2	1 
12 1720 2 846 4 312 6 2 400 1326 3	400 1326	0	8 9 
12 43 33 27 2584 20 2 190 31 325 3	190	0	7 
2 330 2043 30 107 1241 28 2 107 993 3	330 2043	2	1 2 
1638 2 121 185 1 17 9 7 121 824 3	185	0	3 
30 33 499 20 50 6 2 739 18 17 3	50 6 2 739	2	4 5 6 7 
12 130 29 1773 22 162 12 1410 42 878 3	878	1	9 
1767 30 78 107 388 4 82 7 1115 312 3	1767	0	0 
12 73 64 5 115 7 257 1218 198 2485 3	1218 198	1	7 8 
12 140 2 125 2 830 1419 6 351 540 425 3	1419 6 351	0	6 7 8 
2 824 9 1241 5 1613 58 4 2062 2577 903 3	1613 58	2	5 6 
37 92 12 29 1697 99 7 409 20 22 769 3	769	2	10 
173 205 3321 52 411 2379 1 72 167 25 39 3	3321	2	2 
7 534 31 52 240 1 2 2627 2697 67 1035 3	2697	2	8 
17 1987 540 4 65 17 136 17 21 1925 1241 3	540	2	2 
37 35 82 971 10 2172 1 4 57 30 1177 3	2172	2	5 
12 140 473 231 70 9 7 1861 3365 108 1620 3	473 231	0	2 3 
12 140 473 231 70 9 7 1861 3365 108 1620 3	1620	2	10 
2 1767 1423 96 4 12 394 67 717 18 17 3	1767	0	1 
208 283 12 288 329 9 2 943 160 9 767 3	943 160	0	7 8 
22 1227 9 7 121 232 4 51 7 2578 185 3	232	0	5 
22 1227 9 7 121 232 4 51 7 2578 185 3	185	0	10 
12 141 1637 266 5 391 42 1736 1081 1634 2373 3	1637 266	1	2 3 
12 141 1637 266 5 391 42 1736 1081 1634 2373 3	1736 1081 1634	1	7 8 9 
1177 6 2 3094 25 1388 916 55 44 87 382 3	3094 25 1388	2	3 4 5 
17 21 783 699 4 7 121 487 10 2 232 36	487	0	7 
17 21 783 699 4 7 121 487 10 2 232 36	232	0	10 
473 78 2962 2 508 175 10 72 608 242 1488 3	473	2	0 
99 96 10 667 42 1634 18 836 31 1033 751 3	1033 751	0	9 10 
99 96 10 667 42 1634 18 836 31 1033 751 3	667	0	3 
12 1045 22 1227 127 6 2 575 5 232 1807 3	575	0	7 
12 1045 22 1227 127 6 2 575 5 232 1807 3	232	0	9 
12 73 64 25 396 7 138 1966 3 943 160 3	943 160	1	9 10 
2 1044 1267 46 45 1276 2 570 1 107 2468 3	1044 1267	2	1 2 
1486 1228 1 215 1434 481 1 4 7 1726 1228 3	1228	0	1 10 
1486 1228 1 215 1434 481 1 4 7 1726 1228 3	1228	0	1 10 
1486 1228 1 215 1434 481 1 4 7 1726 1228 3	1434 481	0	4 5 
325 275 107 1013 26 181 349 294 930 69 191 3443	325 275	2	0 1 
2 298 9 2520 59 6 7 457 1067 6 1830 3	298	1	1 
12 1045 22 1227 4 239 99 1784 9 33 2489 3	1784	2	7 
2 135 3132 1475 946 1937 4 3173 9 7 2358 3	1475 946 1937 4 3173	2	3 4 5 6 7 
2 1958 214 14 301 1001 157 69 150 7 1162 3	301	0	4 
1184 699 4 2 926 1865 1767 9 52 135 215 3	926 1865 1767	0	4 5 6 
1184 699 4 2 926 1865 1767 9 52 135 215 3	1184	0	0 
275 51 84 3119 4 92 12 67 150 7 2235 3	275	2	0 
426 732 2228 943 1 48 95 75 5 85 2306 3	943	2	3 
859 1227 4 2 542 383 5 1181 186 8 478 3	383	0	5 
26 114 26 313 2 1905 8 2 508 219 1763 3	1905	2	5 
12 82 189 180 14 76 705 87 313 589 598 3	589	2	9 
3537 145 2140 9 7 440 3279 1 33 2 1321 3	2140	2	2 
2 838 3082 850 378 42 609 1246 52 135 48 3	838 3082 850	0	1 2 3 
44 1750 42 341 562 26 114 26 42 748 495 3	341 562	1	3 4 
44 1750 42 341 562 26 114 26 42 748 495 3	748 495	1	9 10 
2 52 411 1227 1184 5 1241 4 12 1146 17 36	1184	2	4 
78 1 2 943 136 33 142 107 191 25 39 3	943	2	3 
129 283 9 12 43 115 1242 1208 440 243 739 3	739	0	10 
1401 515 2250 4 337 6 190 9 3434 2 1421 3	190	2	6 
57 9 1908 91 906 18 2 508 21 341 562 3	906	2	4 
57 9 1908 91 906 18 2 508 21 341 562 3	341 562	2	9 10 
198 9 2988 53 264 117 6 575 127 6 14 3	575	2	7 
198 9 2988 53 264 117 6 575 127 6 14 3	198	2	0 
17 9 357 5 115 1 96 337 4 96 232 3	337	0	7 
17 9 357 5 115 1 96 337 4 96 232 3	232	0	10 
17 9 357 5 115 1 96 337 4 96 232 3	115	0	4 
2 1599 18 2 1937 1 2 309 1063 245 2225 3	1599 18 2 1937	1	1 2 3 4 
2 1599 18 2 1937 1 2 309 1063 245 2225 3	309 1063	2	7 8 
12 29 851 5 1000 18 257 1754 20 72 1303 3	1754	2	7 
19 12 2557 14 12 43 67 2234 2 341 1787 3	341 1787	1	9 10 
19 12 2557 14 44 43 67 2234 2 341 1787 3	341 1787	1	9 10 
7 1974 232 130 33 1547 7 2357 698 3170 325 3	232	0	2 
2 229 889 69 7 509 54 2120 1934 4 3007 3	2120	0	7 
17 21 131 357 5 1878 58 5 79 1134 1498 3	1878 58 5 79 1134 1498	0	5 6 7 8 9 10 
12 29 84 107 1692 20 2 575 6 22 1227 3	575	0	7 
2 2141 2140 9 121 10 2508 4 702 3438 225 3	2141 2140	0	1 2 
2 655 40 962 1471 2 409 5 2 190 311 3	190 311	1	9 10 
2 94 409 9 14 2 1767 964 9 618 3150 3	1767 964	2	6 7 
42 1093 1012 17 1237 10 346 1 401 4 224 3	346	1	6 
57 21 1808 72 125 5 104 17 1758 20 1620 3	1620	2	10 
28 2 3219 1 2 3481 30 3240 8 99 1203 60	1203	2	10 
17 21 351 4 770 1651 17 5 46 711 210 3	351	0	2 
17 21 351 4 770 1651 17 5 46 711 210 3	770	0	4 
12 83 109 1930 20 2 1524 1 281 2 3187 3	1524	0	6 
12 83 109 1930 20 2 1524 1 281 2 3187 3	3187	0	10 
2 824 9 1241 5 1613 58 4 2062 2577 903 3	1613 58	2	5 6 
2 1956 16 29 5 619 7 182 1847 95 109 3	1956	2	1 
15 72 409 20 2 2117 31 839 23 2 125 3	839	0	7 
1345 11 44 808 346 20 69 10 2 1660 745 3	1660 745	2	9 10 
2 312 6 22 9 215 95 2 2379 1 172 3	312	0	1 
2 789 9 779 4 3448 1 37 72 838 3264 3	789	0	1 
17 51 7 258 6 906 4 7 121 943 160 3	906	0	5 
17 51 7 258 6 906 4 7 121 943 160 3	943 160	0	9 10 
110 1 342 152 355 1 2 2060 3296 59 18 69 3	2060	2	7 
17 21 878 24 2333 1 281 2 2838 10 1006 371 3	878	0	2 
17 21 878 24 2333 1 281 2 2838 10 1006 371 3	1006 371	0	10 11 
17 585 44 119 29 812 1683 4 360 242 1102 1620 3	1683	0	6 
17 585 44 119 29 812 1683 4 360 242 1102 1620 3	1620	2	11 
338 12 1400 39 2 351 2 1227 2080 8 2987 1117 3	351	2	5 
338 12 1400 39 2 351 2 1227 2080 8 2987 1117 3	2080	1	8 
83 107 1215 12 1045 17 1 121 2801 1 498 232 3	232	0	11 
17 136 33 131 29 2 351 5 280 7 798 92 3	351	2	6 
121 1227 10 2 232 1 540 114 20 554 1053 346 3	232	0	4 
121 1227 10 2 232 1 540 114 20 554 1053 346 3	554 1053 346	1	9 10 11 
121 1227 10 2 232 1 540 114 20 554 1053 346 3	540	0	6 
727 16 147 29 5 2055 2 1937 5 77 17 5 3392	1937	2	7 
249 621 113 12 1045 2 2801 1 2 789 1928 352 3	789	2	9 
1006 592 30 33 18 17 3133 82 5 271 17 3223 3	1006 592	2	0 1 
42 2379 118 33 29 589 18 450 1 67 759 210 3	589	2	5 
17 9 114 758 2 272 17 544 1 107 96 1042 3	544	0	7 
2 232 9 208 1040 1490 14 157 69 810 22 1227 3	232	0	1 
1092 448 25 66 3121 2915 7 798 2541 15 36 13 3	798 2541	2	7 8 
2 798 2541 1711 113 1782 106 798 336 253 14 68 36	798 2541	2	1 2 
17 540 717 20 62 1134 4 44 174 82 33 598 3	540	0	1 
17 136 33 274 330 1999 72 676 137 16 648 17 3	330 1999	2	4 5 
254 1 2 187 409 1 2 154 1551 118 33 126 3	154 1551	2	7 8 
22 30 2 1224 120 4 179 173 82 33 84 2088 3	2088	2	11 
1111 2 2977 640 1 12 2772 10 2 256 852 943 3	256 852 943	0	9 10 11 
17 30 173 352 1 37 57 30 479 18 2 789 3	789	2	11 
12 143 736 214 2 3410 48 95 12 387 12 73 3	3410	0	5 
17 30 7 121 1227 1 1418 121 4 30 147 699 3	1418	0	6 
12 3201 473 149 2 1315 2492 4 450 1273 96 254 3	473	0	2 
12 3201 473 149 2 1315 2492 4 450 1273 96 254 3	1315 2492	0	5 6 
8 81 12 433 313 598 20 2 1395 2178 33 352 3	1395 2178	2	8 9 
17 9 78 107 2119 1 327 2898 22 508 107 357 3	2898	0	7 
17 21 542 10 450 4 1184 1453 95 41 799 922 36	1184	0	6 
42 93 409 9 12 43 33 2502 3 2 325 578 3	325 578	2	10 11 
12 40 29 5 810 2118 2745 31 3509 10 1122 991 3	2118 2745	1	5 6 
12 40 29 5 810 2118 2745 31 3509 10 1122 991 3	3509	1	8 
2 508 872 9 7 96 325 37 2 1032 2403 3057 3	1032 2403	2	9 10 
52 1 2 341 1761 1282 147 136 45 676 5 69 3	341 1761 1282	1	3 4 5 
12 29 33 82 7 409 20 2 878 2904 31 2566 3	878	0	8 
22 68 2 1599 1937 4 154 362 578 73 45 126 36	1599 1937	2	3 4 
22 68 2 1599 1937 4 154 362 578 73 45 126 36	154 362 578	2	6 7 8 
17 9 8 2 129 1025 4 51 7 147 183 337 3	337	0	11 
22 9 33 7 1029 1596 1227 31 7 1029 424 824 60	1596	2	5 
